N = 16
k = 4 , l = 1 , inner_product =  0.0
k = 4 , l = 2 , inner_product =  0.0
k = 4 , l = 3 , inner_product =  0.0
k = 4 , l = 4 , inner_product =  1.0
k = 4 , l = 5 , inner_product =  0.0
k = 4 , l = 6 , inner_product =  0.0
k = 4 , l = 7 , inner_product =  0.0
k = 4 , l = 8 , inner_product =  0.0
k = 4 , l = 9 , inner_product =  0.0
k = 4 , l = 10 , inner_product =  0.0
k = 4 , l = 11 , inner_product =  0.0
k = 4 , l = 12 , inner_product =  0.0
k = 4 , l = 13 , inner_product =  0.0
k = 4 , l = 14 , inner_product =  0.0
k = 4 , l = 15 , inner_product =  0.0
k = 4 , l = 16 , inner_product =  0.0
k = 4 , l = 17 , inner_product =  0.0
k = 4 , l = 18 , inner_product =  0.0
k = 4 , l = 19 , inner_product =  0.0
k = 4 , l = 20 , inner_product =  0.0
k = 4 , l = 21 , inner_product =  0.0
k = 4 , l = 22 , inner_product =  0.0
k = 4 , l = 23 , inner_product =  0.0
k = 4 , l = 24 , inner_product =  0.0
k = 4 , l = 25 , inner_product =  0.0
k = 4 , l = 26 , inner_product =  0.0
k = 4 , l = 27 , inner_product =  0.0
k = 4 , l = 28 , inner_product =  0.0
k = 4 , l = 29 , inner_product =  0.0
k = 4 , l = 30 , inner_product =  0.0
k = 4 , l = 31 , inner_product =  0.0
k = 4 , l = 32 , inner_product =  0.0
k = 4 , l = 33 , inner_product =  0.0
k = 4 , l = 34 , inner_product =  0.0
k = 4 , l = 35 , inner_product =  0.0
k = 4 , l = 36 , inner_product =  0.0
k = 4 , l = 37 , inner_product =  0.0
k = 4 , l = 38 , inner_product =  0.0
k = 4 , l = 39 , inner_product =  0.0
k = 4 , l = 40 , inner_product =  0.0
k = 4 , l = 41 , inner_product =  0.0
k = 4 , l = 42 , inner_product =  0.0
k = 4 , l = 43 , inner_product =  0.0
k = 4 , l = 44 , inner_product =  0.0
k = 4 , l = 45 , inner_product =  0.0
k = 4 , l = 46 , inner_product =  0.0
k = 4 , l = 47 , inner_product =  0.0
k = 4 , l = 48 , inner_product =  0.0
k = 4 , l = 49 , inner_product =  0.0
k = 4 , l = 50 , inner_product =  0.0
k = 4 , l = 51 , inner_product =  0.0
k = 4 , l = 52 , inner_product =  0.0
k = 4 , l = 53 , inner_product =  0.0
k = 4 , l = 54 , inner_product =  0.0
k = 4 , l = 55 , inner_product =  0.0
k = 4 , l = 56 , inner_product =  0.0
k = 4 , l = 57 , inner_product =  0.0
k = 4 , l = 58 , inner_product =  0.0
k = 4 , l = 59 , inner_product =  0.0
k = 4 , l = 60 , inner_product =  0.0
k = 4 , l = 61 , inner_product =  0.0
k = 4 , l = 62 , inner_product =  0.0
k = 4 , l = 63 , inner_product =  0.0
k = 5 , l = 0 , inner_product =  0.0
k = 5 , l = 1 , inner_product =  0.0
k = 5 , l = 2 , inner_product =  0.0
k = 5 , l = 3 , inner_product =  0.0
k = 5 , l = 4 , inner_product =  0.0
k = 5 , l = 5 , inner_product =  1.0
k = 5 , l = 6 , inner_product =  0.0
k = 5 , l = 7 , inner_product =  0.0
k = 5 , l = 8 , inner_product =  0.0
k = 5 , l = 9 , inner_product =  0.0
k = 5 , l = 10 , inner_product =  0.0
k = 5 , l = 11 , inner_product =  0.0
k = 5 , l = 12 , inner_product =  0.0
k = 5 , l = 13 , inner_product =  0.0
k = 5 , l = 14 , inner_product =  0.0
k = 5 , l = 15 , inner_product =  0.0
k = 5 , l = 16 , inner_product =  0.0
k = 5 , l = 17 , inner_product =  0.0
k = 5 , l = 18 , inner_product =  0.0
k = 5 , l = 19 , inner_product =  0.0
k = 5 , l = 20 , inner_product =  0.0
k = 5 , l = 21 , inner_product =  0.0
k = 5 , l = 22 , inner_product =  0.0
k = 5 , l = 23 , inner_product =  0.0
k = 5 , l = 24 , inner_product =  0.0
k = 5 , l = 25 , inner_product =  0.0
k = 5 , l = 26 , inner_product =  0.0
k = 5 , l = 27 , inner_product =  0.0
k = 5 , l = 28 , inner_product =  0.0
k = 5 , l = 29 , inner_product =  0.0
k = 5 , l = 30 , inner_product =  0.0
k = 5 , l = 31 , inner_product =  0.0
k = 5 , l = 32 , inner_product =  0.0
k = 5 , l = 33 , inner_product =  0.0
k = 5 , l = 34 , inner_product =  0.0
k = 5 , l = 35 , inner_product =  0.0
k = 5 , l = 36 , inner_product =  0.0
k = 5 , l = 37 , inner_product =  0.0
k = 5 , l = 38 , inner_product =  0.0
k = 5 , l = 39 , inner_product =  0.0
k = 5 , l = 40 , inner_product =  0.0
k = 5 , l = 41 , inner_product =  0.0
k = 5 , l = 42 , inner_product =  0.0
k = 5 , l = 43 , inner_product =  0.0
k = 5 , l = 44 , inner_product =  0.0
k = 5 , l = 45 , inner_product =  0.0
k = 5 , l = 46 , inner_product =  0.0
k = 5 , l = 47 , inner_product =  0.0
k = 5 , l = 48 , inner_product =  0.0
k = 5 , l = 49 , inner_product =  0.0
k = 5 , l = 50 , inner_product =  0.0
k = 5 , l = 51 , inner_product =  0.0
k = 5 , l = 52 , inner_product =  0.0
k = 5 , l = 53 , inner_product =  0.0
k = 5 , l = 54 , inner_product =  0.0
k = 5 , l = 55 , inner_product =  0.0
k = 5 , l = 56 , inner_product =  0.0
k = 5 , l = 57 , inner_product =  0.0
k = 5 , l = 58 , inner_product =  0.0
