N = 16
k = 0 , l = 37 , inner_product =  -9.71445146547012e-17
k = 0 , l = 38 , inner_product =  -4.527628272299467e-16
k = 0 , l = 39 , inner_product =  3.608224830031759e-16
k = 0 , l = 40 , inner_product =  1.5265566588595902e-16
k = 0 , l = 41 , inner_product =  -1.1102230246251565e-16
k = 0 , l = 42 , inner_product =  3.3306690738754696e-16
k = 0 , l = 43 , inner_product =  -4.198030811863873e-16
k = 0 , l = 44 , inner_product =  -1.951563910473908e-17
k = 0 , l = 45 , inner_product =  1.3530843112619095e-16
k = 0 , l = 46 , inner_product =  7.806255641895632e-16
k = 0 , l = 47 , inner_product =  -1.97758476261356e-15
k = 0 , l = 48 , inner_product =  1.1102230246251565e-15
k = 0 , l = 49 , inner_product =  -1.169203622808368e-15
k = 0 , l = 50 , inner_product =  -3.157196726277789e-16
k = 0 , l = 51 , inner_product =  -5.221517662690189e-16
k = 0 , l = 52 , inner_product =  3.0054084221298183e-16
k = 0 , l = 53 , inner_product =  4.163336342344337e-16
k = 0 , l = 54 , inner_product =  4.978656376053436e-16
k = 0 , l = 55 , inner_product =  -6.175615574477433e-16
k = 0 , l = 56 , inner_product =  -1.8041124150158794e-16
k = 0 , l = 57 , inner_product =  5.204170427930421e-17
k = 0 , l = 58 , inner_product =  1.8561541192951836e-16
k = 0 , l = 59 , inner_product =  1.734723475976807e-16
k = 0 , l = 60 , inner_product =  1.9853910182554557e-15
k = 0 , l = 61 , inner_product =  -6.800116025829084e-16
k = 0 , l = 62 , inner_product =  -1.1310397063368782e-15
k = 0 , l = 63 , inner_product =  -1.1379786002407855e-15
k = 1 , l = 0 , inner_product =  4.85722573273506e-17
k = 1 , l = 1 , inner_product =  1.0
k = 1 , l = 2 , inner_product =  6.938893903907228e-17
k = 1 , l = 3 , inner_product =  -1.0083080204115191e-16
k = 1 , l = 4 , inner_product =  8.326672684688674e-17
k = 1 , l = 5 , inner_product =  -8.543513119185775e-17
k = 1 , l = 6 , inner_product =  1.1102230246251565e-16
k = 1 , l = 7 , inner_product =  0.0
k = 1 , l = 8 , inner_product =  7.632783294297951e-17
